timestamp,zone,line,direction,transportMode,latitude,longitude
1720040895350,18,74,Partille centrum"," Påstigning fram,bus,57.775299,12.059676
1720040895350,18,75,Lövgärdet"," Påstigning fram,bus,57.802725,12.053168
1720040895350,18,75,Angered centrum"," Påstigning fram,bus,57.794751,12.048476
1720040895350,18,73,Gårdsten"," Påstigning fram,bus,57.797853,12.033796
1720040895350,18,73,Angered centrum"," Påstigning fram,bus,57.794643,12.048386
1720040895350,18,751,Mölnlycke"," Påstigning fram,bus,57.645971,12.045653
1720040895350,18,751,Frölunda via Mölndal resecentrum"," Påstigning fram,bus,57.657216,12.116506
1720040895350,18,751,Frölunda Torg"," Påstigning fram,bus,57.649692,11.982234
1720040895350,18,762,Inseros"," Påstigning fram,bus,57.574785,12.085098
1720040895350,18,761,Mölndal resecentrum"," Påstigning fram,bus,57.574785,12.085098
1720040895350,18,720,Kullaviks hamn"," Påstigning fram,bus,57.513452,11.950817
1720040895350,18,20,Resecentrum"," Påstigning fram,bus,57.688858,12.808532
1720040895350,18,76,Rannebergen"," Påstigning fram,bus,57.799219,12.060476
1720040895350,18,510,Heden"," Påstigning fram,bus,57.703403,11.974333
1720040895350,18,515,Gamlestads Torg"," Påstigning fram,bus,57.729166,12.004114
1720040895350,18,514,Östra Sjukhuset via Vallhamra"," Påstigning fram,bus,57.72362,12.088037
1720040895350,18,16,Högsbohöjd,bus,57.695771,11.9716
1720040895350,18,18,Kallebäck,bus,57.70281,11.973164
1720040895350,18,18,Kallebäck,bus,57.681712,12.009463
1720040895350,18,732,Kungsbacka"," Påstigning fram,bus,57.473441,12.095283
1720040895350,18,517,Furulund"," Påstigning fram,bus,57.733912,12.134404
1720040895350,18,40,Angered"," Påstigning fram,bus,57.795686,12.048566
1720040895350,18,43,Svingeln"," Påstigning fram,bus,57.755145,11.970351
1720040898476,19,7,Norrmalm"," Påstigning fram,bus,57.72228,12.941231
1720040898476,19,7,Hedvigsborg"," Påstigning fram,bus,57.70405,12.945887
1720040898476,19,7,Hedvigsborg"," Påstigning fram,bus,57.69836,12.946831
1720040898476,19,159,Dalsjöfors via Målsryd"," Påstigning fram,bus,57.701246,12.988505
1720040898476,19,150,Fristad station"," Påstigning fram,bus,57.73847,12.937536
1720040898476,19,8,Hulta ängar"," Påstigning fram,bus,57.716257,12.98881
1720040898476,19,2,Trandared"," Påstigning fram,bus,57.708077,12.961205
1720040898476,19,155,Svanehov"," Påstigning fram,bus,57.712347,12.923036
1720040898476,19,351,Tranemo"," Påstigning fram,bus,57.496624,13.341089
1720040898476,19,5,Brämhult via Resecentrum"," Påstigning fram,bus,57.718352,12.823445
1720040898476,19,5,Brämhult"," Påstigning fram,bus,57.733661,13.013288
1720040898476,19,200,Borås"," Påstigning fram,bus,57.819382,13.286389
